51000;Erfurt, Stadt;200;350;400
52000;Gera, Stadt;200;320;380
53000;Jena, Stadt;200;300;380
54000;Suhl, Stadt;200;300;350
55000;Weimar, Stadt;220;314;364
61000;Landkreis Eichsfeld;224;308;318
61001;Arenshausen;200;300;300
61002;Asbach-Sickenberg;200;300;300
61003;Berlingerode;200;300;300
61004;Bernterode (bei Heilbad Heiligenstadt);300;300;300
61005;Bernterode (bei Worbis);200;300;300
61006;Beuren;200;300;280
61007;Birkenfelde;200;300;300
61009;Bischofferode;220;320;300
61011;Bockelnhagen;240;330;300
61012;Bodenrode-Westhausen;200;300;300
61013;Böseckendorf;200;300;300
61014;Bornhagen;200;300;300
61015;Brehme;200;300;300
61016;Breitenbach;200;300;300
61017;Breitenworbis;200;300;300
61018;Büttstedt;200;300;300
61019;Buhla;200;300;300
61021;Burgwalde;200;300;300
61022;Deuna;200;300;300
61023;Dieterode;300;300;250
61024;Dietzenrode/Vatterode;200;300;300
61025;Dingelstädt, Stadt;300;300;340
61026;Ecklingerode;200;300;300
61027;Effelder;200;300;300
61028;Eichstruth;200;300;300
61029;Ershausen;300;300;300
61031;Ferna;200;300;300
61032;Freienhagen;200;300;300
61033;Fretterode;200;300;300
61034;Geisleden;200;300;300
61035;Geismar;300;300;300
61036;Gerbershausen;200;300;300
61037;Gernrode;200;300;300
61038;Gerterode;200;300;300
61039;Glasehausen;200;300;300
61041;Großbartloff;200;300;300
61042;Großbodungen;200;300;300
61043;Hausen;200;300;300
61044;Haynrode;200;300;300
61045;Heilbad Heiligenstadt, Stadt;250;320;340
61046;Helmsdorf;300;300;300
61047;Heuthen;200;300;300
61048;Hohengandern;200;300;300
61049;Hohes Kreuz;200;300;325
61051;Holungen;200;300;300
61052;Hundeshagen;200;300;300
61053;Jützenbach;220;320;300
61054;Kallmerode;200;300;300
61055;Kefferhausen;300;300;300
61056;Kella;300;300;300
61057;Kirchgandern;200;300;300
61058;Kirchworbis;200;300;300
61059;Kleinbartloff;200;300;300
61061;Kreuzebra;300;300;300
61062;Krombach;300;300;300
61063;Küllstedt;200;300;260
61064;Leinefelde, Stadt;254;318;328
61065;Lenterode;200;300;300
61066;Lindewerra;200;300;300
61067;Lutter;300;300;300
61068;Mackenrode;200;300;300
61069;Marth;200;300;300
61071;Martinfeld;300;300;300
61072;Neuendorf;200;300;300
61073;Neustadt;200;300;300
61074;Niederorschel;200;300;300
61075;Pfaffschwende;300;300;300
61076;Reinholterode;200;300;300
61077;Röhrig;200;300;300
61078;Rohrberg;200;300;300
61079;Rüdigershagen;200;300;300
61081;Rüstungen;300;300;300
61082;Rustenfelde;200;300;300
61083;Schachtebich;200;300;300
61084;Schönhagen;200;300;300
61085;Schwobfeld;300;300;250
61086;Sickerode;300;300;300
61087;Silberhausen;300;300;300
61088;Silkerode;250;330;300
61089;Steinbach;200;300;300
61091;Steinheuterode;200;300;300
61092;Steinrode;200;300;300
61093;Stöckey;230;330;300
61094;Tastungen;200;300;300
61095;Teistungen;200;300;300
61096;Thalwenden;200;300;300
61097;Uder;200;300;300
61098;Volkerode;300;300;300
61099;Vollenborn;200;300;300
61101;Wachstedt;300;300;300
61102;Wahlhausen;200;300;300
61103;Wehnde;200;300;300
61104;Weißenborn-Lüderode;220;320;300
61105;Wiesenfeld;300;300;300
61106;Wilbich;300;300;300
61107;Wingerode;200;300;300
61108;Wintzingerode;300;330;330
61109;Worbis, Stadt;200;300;300
61111;Wüstheuterode;200;300;300
61112;Zwinge;230;330;300
62000;Landkreis Nordhausen;210;300;328
62001;Auleben;200;300;400
62002;Bleicherode, Stadt;210;300;320
62003;Branderode;200;300;350
62004;Buchholz;200;300;300
62005;Ellrich, Stadt;200;300;300
62006;Etzelsrode;200;300;300
62007;Friedrichsthal;220;300;300
62008;Görsbach;200;300;300
